Knot Step 
3 -2.7 1.8
3 -2.7 1.5
3 -2.7 1.2
3 -2.7 0.9
3 -2.7 0.6
3 -2.7 0.3
3 -2.4 0.3
3 -2.1 0.3
3 -1.8 0.3
3 -1.5 0.3
3 -1.2 0.3
3 -1.2 0.6
3 -1.2 0.9
3 -1.2 1.2
3 -1.2 1.5
3 -1.2 1.8
3 -1.2 2.1
3 -1.2 2.4
3 -1.5 2.4
3 -1.5 2.7
3 -1.8 2.7
3 -2.1 2.7
3 -2.1 2.4
3 -2.4 2.4
3 -2.7 2.4
3 -3 2.4
3 -3 2.1
3 -3 1.8
3 -2.7 1.8
Knot Step 
3 -2.7 1.8
3 -2.7 1.5
3 -2.7 1.2
3 -2.7 0.9
3 -2.7 0.6
3 -2.7 0.3
3 -2.4 0.3
3 -2.1 0.3
3 -1.8 0.3
3 -1.5 0.3
3 -1.2 0.3
3 -1.2 0.6
3 -1.2 0.9
3 -1.2 1.2
3 -1.2 1.5
3 -1.2 1.8
3 -1.2 2.1
3 -1.2 2.4
3 -1.5 2.4
3 -1.8 2.4
3 -2.1 2.4
3 -2.4 2.4
3 -2.7 2.4
3 -3 2.4
3 -3 2.1
3 -3 1.8
3 -2.7 1.8
Knot Step 
3 -2.7 1.8
3 -2.7 1.5
3 -2.7 1.2
3 -2.7 0.9
3 -2.7 0.6
3 -2.7 0.3
3 -2.4 0.3
3 -2.1 0.3
3 -1.8 0.3
3 -1.5 0.3
3 -1.5 0.6
3 -1.5 0.9
3 -1.5 1.2
3 -1.5 1.5
3 -1.5 1.8
3 -1.5 2.1
3 -1.5 2.4
3 -1.8 2.4
3 -2.1 2.4
3 -2.4 2.4
3 -2.7 2.4
3 -3 2.4
3 -3 2.1
3 -3 1.8
3 -2.7 1.8
Knot Step 
3 -2.7 1.5
3 -2.7 1.2
3 -2.7 0.9
3 -2.7 0.6
3 -2.7 0.3
3 -2.4 0.3
3 -2.1 0.3
3 -1.8 0.3
3 -1.5 0.3
3 -1.5 0.6
3 -1.5 0.9
3 -1.5 1.2
3 -1.5 1.5
3 -1.5 1.8
3 -1.5 2.1
3 -1.5 2.4
3 -1.8 2.4
3 -2.1 2.4
3 -2.4 2.4
3 -2.7 2.4
3 -2.7 2.1
3 -2.7 1.8
3 -2.7 1.5
Knot Step 
3 -2.7 1.5
3 -2.7 1.2
3 -2.7 0.9
3 -2.7 0.6
3 -2.4 0.6
3 -2.1 0.6
3 -1.8 0.6
3 -1.5 0.6
3 -1.5 0.9
3 -1.5 1.2
3 -1.5 1.5
3 -1.5 1.8
3 -1.5 2.1
3 -1.5 2.4
3 -1.8 2.4
3 -2.1 2.4
3 -2.4 2.4
3 -2.7 2.4
3 -2.7 2.1
3 -2.7 1.8
3 -2.7 1.5
Knot Step 
3 -2.7 1.2
3 -2.7 0.9
3 -2.7 0.6
3 -2.4 0.6
3 -2.1 0.6
3 -1.8 0.6
3 -1.5 0.6
3 -1.5 0.9
3 -1.5 1.2
3 -1.5 1.5
3 -1.5 1.8
3 -1.5 2.1
3 -1.8 2.1
3 -2.1 2.1
3 -2.4 2.1
3 -2.7 2.1
3 -2.7 1.8
3 -2.7 1.5
3 -2.7 1.2
Knot Step 
3 -2.7 1.2
3 -2.7 0.9
3 -2.7 0.6
3 -2.4 0.6
3 -2.1 0.6
3 -1.8 0.6
3 -1.8 0.9
3 -1.8 1.2
3 -1.8 1.5
3 -1.8 1.8
3 -1.8 2.1
3 -2.1 2.1
3 -2.4 2.1
3 -2.7 2.1
3 -2.7 1.8
3 -2.7 1.5
3 -2.7 1.2
Knot Step 
3 -2.4 1.2
3 -2.4 0.9
3 -2.4 0.6
3 -2.1 0.6
3 -1.8 0.6
3 -1.8 0.9
3 -1.8 1.2
3 -1.8 1.5
3 -1.8 1.8
3 -1.8 2.1
3 -2.1 2.1
3 -2.4 2.1
3 -2.4 1.8
3 -2.4 1.5
3 -2.4 1.2
Knot Step 
3 -2.4 1.2
3 -2.4 0.9
3 -2.1 0.9
3 -1.8 0.9
3 -1.8 1.2
3 -1.8 1.5
3 -1.8 1.8
3 -1.8 2.1
3 -2.1 2.1
3 -2.4 2.1
3 -2.4 1.8
3 -2.4 1.5
3 -2.4 1.2
Knot Step 
3 -2.4 0.9
3 -2.1 0.9
3 -1.8 0.9
3 -1.8 1.2
3 -1.8 1.5
3 -1.8 1.8
3 -2.1 1.8
3 -2.4 1.8
3 -2.4 1.5
3 -2.4 1.2
3 -2.4 0.9
Knot Step 
3 -2.1 1.2
3 -1.8 1.2
3 -1.8 1.5
3 -1.8 1.8
3 -2.1 1.8
3 -2.4 1.8
3 -2.4 1.5
3 -2.4 1.2
3 -2.1 1.2
